127.0.0.1 - - [07/Jun/2018:16:20:08 +0900] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [07/Jun/2018:16:20:11 +0900] "GET /BOARD/vendor/font-awesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 200 165742
0:0:0:0:0:0:0:1 - - [07/Jun/2018:16:20:11 +0900] "GET /BOARD/img/header.JPG HTTP/1.1" 200 194783
0:0:0:0:0:0:0:1 - - [07/Jun/2018:16:21:29 +0900] "GET /BOARD/ourYOLO.jsp HTTP/1.1" 200 23084
0:0:0:0:0:0:0:1 - - [07/Jun/2018:16:21:29 +0900] "GET /BOARD/css/new.css HTTP/1.1" 200 1886
0:0:0:0:0:0:0:1 - - [07/Jun/2018:16:21:29 +0900] "GET /BOARD/css/yolo.js HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [07/Jun/2018:16:21:29 +0900] "GET /BOARD/img/REYOLABLUE.png HTTP/1.1" 200 30043
0:0:0:0:0:0:0:1 - - [07/Jun/2018:16:21:29 +0900] "GET /BOARD/img/sing.jpg HTTP/1.1" 200 49433
0:0:0:0:0:0:0:1 - - [07/Jun/2018:16:21:29 +0900] "GET /BOARD/im/cafe.jpg HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [07/Jun/2018:16:22:28 +0900] "GET /BOARD/index.jsp HTTP/1.1" 200 11772
0:0:0:0:0:0:0:1 - - [07/Jun/2018:16:22:37 +0900] "GET /BOARD/ourYOLO.jsp HTTP/1.1" 200 16087
0:0:0:0:0:0:0:1 - - [07/Jun/2018:16:22:38 +0900] "GET /BOARD/css/yolo.js HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [07/Jun/2018:16:22:43 +0900] "POST /BOARD/cafe_survey.jsp HTTP/1.1" 500 2732
0:0:0:0:0:0:0:1 - - [07/Jun/2018:16:25:50 +0900] "GET /BOARD/ourYOLO.jsp HTTP/1.1" 200 16087
0:0:0:0:0:0:0:1 - - [07/Jun/2018:16:25:50 +0900] "GET /BOARD/css/new.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2018:16:25:52 +0900] "GET /BOARD/ourYOLO.jsp HTTP/1.1" 200 16087
0:0:0:0:0:0:0:1 - - [07/Jun/2018:16:25:53 +0900] "GET /BOARD/css/new.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2018:16:26:08 +0900] "GET /BOARD/index.jsp HTTP/1.1" 200 11772
0:0:0:0:0:0:0:1 - - [07/Jun/2018:16:26:33 +0900] "GET /BOARD/ourYOLO.jsp HTTP/1.1" 200 16087
0:0:0:0:0:0:0:1 - - [07/Jun/2018:16:26:33 +0900] "GET /BOARD/css/yolo.js HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [07/Jun/2018:16:26:58 +0900] "POST /BOARD/cafe_survey.jsp HTTP/1.1" 200 1564
0:0:0:0:0:0:0:1 - - [07/Jun/2018:16:27:04 +0900] "POST /BOARD/cafe_survey.jsp HTTP/1.1" 200 1719
0:0:0:0:0:0:0:1 - - [07/Jun/2018:16:27:12 +0900] "POST /BOARD/cafe_survey.jsp HTTP/1.1" 200 1884
0:0:0:0:0:0:0:1 - - [07/Jun/2018:16:27:15 +0900] "POST /BOARD/cafe_survey.jsp HTTP/1.1" 200 2049
